yearID,name,teamID,franchID,W,L,H,HR,BB,SO,SB,CS,ERA,SOA,salary
1987,Chicago Cubs,CHN,CHC,76,85,1475,209,504.0,1064.0,109.0,48.0,4.55,1024,14307999
1987,Cincinnati Reds,CIN,CIN,84,78,1478,192,514.0,928.0,169.0,46.0,4.24,919,9281500
1987,Cleveland Indians,CLE,CLE,61,101,1476,187,489.0,977.0,140.0,54.0,5.28,849,8513750
1987,Detroit Tigers,DET,DET,98,64,1535,225,653.0,913.0,106.0,50.0,4.02,976,12122881
1987,Houston Astros,HOU,HOU,76,86,1386,122,526.0,936.0,162.0,46.0,3.84,1137,12608371
1987,Kansas City Royals,KCA,KCR,83,79,1443,168,523.0,1034.0,125.0,43.0,3.86,923,11828056
1987,Los Angeles Dodgers,LAN,LAD,73,89,1389,125,445.0,923.0,128.0,59.0,3.72,1097,13675403
1987,Minnesota Twins,MIN,MIN,85,77,1422,196,523.0,898.0,113.0,65.0,4.63,990,6397500
1987,Milwaukee Brewers,ML4,MIL,91,71,1552,163,598.0,1040.0,176.0,74.0,4.62,1039,7293224
1987,Montreal Expos,MON,WSN,91,71,1467,120,501.0,918.0,166.0,74.0,3.92,1012,6942052
1987,New York Yankees,NYA,NYY,89,73,1445,196,604.0,949.0,105.0,43.0,4.36,900,17099714
1987,New York Mets,NYN,NYM,92,70,1499,192,592.0,1012.0,159.0,49.0,3.84,1032,13846714
1987,Oakland Athletics,OAK,OAK,81,81,1432,199,593.0,1056.0,140.0,63.0,4.32,1042,11680839
1987,Philadelphia Phillies,PHI,PHI,80,82,1390,169,587.0,1109.0,111.0,49.0,4.18,877,11514233
1987,Pittsburgh Pirates,PIT,PIT,80,82,1464,131,535.0,914.0,140.0,58.0,4.2,914,7652000
1987,San Diego Padres,SDN,SDP,65,97,1419,113,577.0,992.0,198.0,91.0,4.27,897,11065796
1987,Seattle Mariners,SEA,SEA,78,84,1499,161,500.0,863.0,174.0,73.0,4.49,919,2263500
1987,San Francisco Giants,SFN,SFG,90,72,1458,205,511.0,1094.0,126.0,97.0,3.68,1038,7290000
1987,St. Louis Cardinals,SLN,STL,95,67,1449,94,644.0,933.0,248.0,72.0,3.91,873,11758000
1987,Texas Rangers,TEX,TEX,75,87,1478,194,567.0,1081.0,120.0,71.0,4.63,1103,880000
1987,Toronto Blue Jays,TOR,TOR,96,66,1514,215,555.0,970.0,126.0,50.0,3.74,1064,10479501
1988,Atlanta Braves,ATL,ATL,54,106,1319,96,432.0,848.0,95.0,69.0,4.09,810,12728174
1988,Baltimore Orioles,BAL,BAL,54,107,1275,137,504.0,869.0,69.0,44.0,4.54,709,13532075
1988,Boston Red Sox,BOS,BOS,89,73,1569,124,623.0,728.0,65.0,36.0,3.97,1085,13896092
1988,California Angels,CAL,ANA,75,87,1458,124,469.0,819.0,86.0,52.0,4.32,817,11947388
1988,Chicago White Sox,CHA,CHW,71,90,1327,132,446.0,908.0,98.0,46.0,4.12,754,6390000
1988,Chicago Cubs,CHN,CHC,77,85,1481,113,403.0,910.0,120.0,46.0,3.84,897,13119198
1988,Cincinnati Reds,CIN,CIN,87,74,1334,122,479.0,922.0,207.0,56.0,3.35,934,8888409
1988,Cleveland Indians,CLE,CLE,78,84,1435,134,416.0,866.0,97.0,50.0,4.16,812,8936500
1988,Detroit Tigers,DET,DET,88,74,1358,143,588.0,841.0,87.0,42.0,3.71,890,12869571
